
## Unit 1 Animal Friends（动物朋友）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | fox | /fɒks/ | n. | 狐狸 | 复数：foxes |
| 2 | giraffe | /dʒɪˈrɑːf/ | n. | 长颈鹿 | 复数：giraffes |
| 3 | eagle | /ˈiːɡl/ | n. | 雕；鹰 | 复数：eagles |
| 4 | wolf | /wʊlf/ | n. | 狼 | 复数：wolves ❌（f变ves） |
| 5 | penguin | /ˈpeŋɡwɪn/ | n. | 企鹅 | 复数：penguins |
| 6 | care | /keə(r)/ | n./v. | 照顾；关心；在乎 | ⭐take care of 照顾；care about 关心 |
| 7 | sandwich | /ˈsænwɪtʃ/ | n. | 三明治 | 复数：sandwiches |
| 8 | snake | /sneɪk/ | n. | 蛇 | 复数：snakes |
| 9 | scary | /ˈskeəri/ | adj. | 吓人的；恐怖的 | 派生：scare(v.)+y |
| 10 | neck | /nek/ | n. | 脖子 | long neck 长脖子 |
| 11 | guess | /ɡes/ | v. | 猜测；估计 | 时态：guessed-guessed-guessing |
| 12 | shark | /ʃɑːk/ | n. | 鲨鱼 | 复数：sharks |
| 13 | whale | /weɪl/ | n. | 鲸 | 复数：whales |
| 14 | huge | /hjuːdʒ/ | adj. | 巨大的；极多的 | 同义词：large, big |
| 15 | dangerous | /ˈdeɪndʒərəs/ | adj. | 危险的；有危害的 | 名词：danger；⭐be dangerous to do sth. |
| 16 | save | /seɪv/ | v. | 救；储蓄；保存 | ⭐save the animals 拯救动物 |
| 17 | luck | /lʌk/ | n. | 幸运；运气 | ⭐Good luck! 祝你好运！；lucky(adj.), luckily(adv.) |
| 18 | Thai | /taɪ/ | adj./n. | 泰国的；泰国人 | 复数：Thais |
| 19 | trunk | /trʌŋk/ | n. | 象鼻 | long trunk 长象鼻 |
| 20 | pick | /pɪk/ | v. | 捡；摘 | ⭐pick up 捡起；pick flowers 摘花 |
| 21 | carry | /ˈkæri/ | v. | 拿；提 | 时态：carried-carried-carrying |
| 22 | playful | /ˈpleɪfl/ | adj. | 爱嬉戏的；爱玩的 | play(v.)+ful |
| 23 | swimmer | /ˈswɪmə(r)/ | n. | 游泳者 | swim双写m+er |
| 24 | one another | /wʌn əˈnʌðə(r)/ | pron. | 互相 | ⭐同义词：each other（三者及以上） |
| 25 | look after | /lʊk ˈɑːftə(r)/ | v. | 照顾 | ⭐同义词：take care of |
| 26 | culture | /ˈkʌltʃə(r)/ | n. | 文化；文明 | 复数：cultures |
| 27 | however | /haʊˈevə(r)/ | adv. | 然而；不过 | 表转折 |
| 28 | danger | /ˈdeɪndʒə(r)/ | n. | 危险 | ⭐in danger 处于危险中；反义词：safety |
| 29 | in danger | /ɪn ˈdeɪndʒə(r)/ | phr. | 处于危险中 | ⭐be in danger |
| 30 | forest | /ˈfɒrɪst/ | n. | 森林 | 复数：forests；⭐in the forest |
| 31 | cut down | /kʌt daʊn/ | v. | 砍伐；减少 | cut down trees 砍树 |
| 32 | too many | /tuː ˈmeni/ | phr. | 太多 | ❌修饰可数名词复数 |
| 33 | kill | /kɪl/ | v. | 杀死；弄死 | 时态：killed-killed-killing |
| 34 | made of | /meɪd ɒv/ | phr. | 由……制成的 | 能看出原材料 |
| 35 | ivory | /ˈaɪvəri/ | n. | 象牙 | 不可数名词 |
| 36 | friendly | /ˈfrendli/ | adj. | 友好的 | ⭐be friendly to sb. 对某人友好 |
| 37 | quite | /kwaɪt/ | adv. | 相当；完全 | ⭐quite a few 相当多 |
| 38 | quite a | /kwaɪt ə/ | phr. | 相当；非常 | quite a big elephant |
| 39 | not...at all | /nɒt ... æt ɔːl/ | phr. | 一点也不；完全不 | 表完全否定 |
| 40 | fur | /fɜː(r)/ | n. | （动物浓厚的）软毛 | 复数：furs |
| 41 | blind | /blaɪnd/ | adj. | 瞎的；失明的 | 反义词：sighted |
| 42 | hearing | /ˈhɪərɪŋ/ | n. | 听力；听觉 | good hearing 良好的听力 |
| 43 | Antarctica | /ænˈtɑːktɪkə/ | n. | 南极洲 | 专有名词 |
| 44 | Africa | /ˈæfrɪkə/ | n. | 非洲 | 专有名词 |
| 45 | Thailand | /ˈtaɪlænd/ | n. | 泰国 | 专有名词 |

---

## Unit 2 No Rules, No Order（无规矩不成方圆）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | rule | /ruːl/ | n. | 规则；规章 | ⭐follow the rules 遵守规则；break the rules 违反规则 |
| 2 | order | /ˈɔːdə(r)/ | n./v. | 秩序；点菜 | in order 井然有序；order food 点菜 |
| 3 | follow | /ˈfɒləʊ/ | v. | 遵循；跟随 | ⭐follow the rules 遵守规则 |
| 4 | be late (for) | /biː leɪt/ | v. | 迟到 | ⭐be late for school 上学迟到 |
| 5 | arrive | /əˈraɪv/ | v. | 到达 | ⭐arrive in + 大地点；arrive at + 小地点 |
| 6 | on time | /ɒn taɪm/ | adv. | 准时 | ❌易混：in time（及时） |
| 7 | hallway | /ˈhɔːlweɪ/ | n. | 走廊 | in the hallway 在走廊里 |
| 8 | uniform | /ˈjuːnɪfɔːm/ | n. | 校服；制服 | ⭐wear a uniform 穿校服 |
| 9 | litter | /ˈlɪtə(r)/ | v./n. | 乱扔；垃圾 | Don't litter. 不要乱扔垃圾 |
| 10 | polite | /pəˈlaɪt/ | adj. | 有礼貌的 | ⭐be polite to sb. 对某人有礼貌；反义词：impolite |
| 11 | treat | /triːt/ | v. | 对待；招待；治疗 | ⭐treat sb. well 善待某人 |
| 12 | respect | /rɪˈspekt/ | n./v. | 尊敬 | ⭐show respect for sb. 对某人表示尊敬 |
| 13 | if | /ɪf/ | conj. | 如果 | ⭐引导条件状语从句 |
| 14 | jacket | /ˈdʒækɪt/ | n. | 夹克衫；短上衣 | 复数：jackets |
| 15 | have to | /hæv tuː/ | v. | 不得不 | ⭐表客观需要，有人称变化；否定：don't have to |
| 16 | everything | /ˈevriθɪŋ/ | pron. | 每件事；一切 | 作主语时谓语动词用单数 |
| 17 | lend | /lend/ | v. | 借给；借出 | ⭐lend sth. to sb. 把某物借给某人；反义词：borrow |
| 18 | sweet | /swiːt/ | n./adj. | 糖果；甜的 | sweet dream 美梦 |
| 19 | snack | /snæk/ | n. | 点心；小吃 | 复数：snacks |
| 20 | of course | /ɒv kɔːs/ | adv. | 当然 | 同义词：sure |
| 21 | mobile | /ˈməʊbaɪl/ | adj. | 可移动的 | ⭐mobile phone 手机 |
| 22 | turn off | /tɜːn ɒf/ | v. | 关掉 | 反义词：turn on 打开 |
| 23 | turn on | /tɜːn ɒn/ | v. | 打开 | 反义词：turn off 关掉 |
| 24 | queue | /kjuː/ | n. | 队 | ⭐jump the queue 插队；wait in a queue 排队 |
| 25 | wait for | /weɪt fɔː(r)/ | v. | 等待 | wait for sb. 等待某人 |
| 26 | just | /dʒʌst/ | adv. | 只是；正好 | just now 刚才 |
| 27 | leave | /liːv/ | v. | 离开；留下 | ⭐leave for... 动身去...；时态：left-left-leaving |
| 28 | absent | /ˈæbsənt/ | adj. | 缺席的；不在的 | ⭐be absent from 缺席；名词：absence |
| 29 | be absent from | /biː ˈæbsənt frɒm/ | v. | 缺席；不在 | be absent from school/class |
| 30 | shh | /ʃ/ | interj. | 嘘 | 让人安静 |
| 31 | quietly | /ˈkwaɪətli/ | adv. | 轻声地；安静地 | quiet(adj.)+ly |
| 32 | belt | /belt/ | n. | 安全带；腰带 | ⭐seat belt 安全带 |
| 33 | feed | /fiːd/ | v. | 喂养；饲养 | 时态：fed-fed-feeding；feed animals 喂动物 |
| 34 | noise | /nɔɪz/ | n. | 声音；噪声 | make a noise 制造噪音 |
| 35 | noisy | /ˈnɔɪzi/ | adj. | 吵闹的 | noise(n.)+y；反义词：quiet |
| 36 | unhappy | /ʌnˈhæpi/ | adj. | 不快乐的 | un-+happy |
| 37 | Dr | /dɒktə(r)/ | n. | 博士；医生 | Doctor的缩写 |
| 38 | make one's/the bed | /meɪk bed/ | v. | 整理床铺 | make one's bed |
| 39 | either | /ˈaɪðə(r)/ | adv. | 也 | ⭐用于否定句末尾 |
| 40 | practise | /ˈpræktɪs/ | v. | 训练；练习 | ⭐practise doing sth. 练习做某事 |
| 41 | hang | /hæŋ/ | v. | 悬挂 | 时态：hung-hung-hanging；⭐hang out 闲逛 |
| 42 | hang out | /hæŋ aʊt/ | v. | 闲逛；常去某处 | hang out with friends 和朋友闲逛 |
| 43 | weekday | /ˈwiːkdeɪ/ | n. | 工作日 | 周一至周五 |
| 44 | awful | /ˈɔːfl/ | adj. | 糟糕的；讨厌的 | 同义词：terrible, horrible |
| 45 | become | /bɪˈkʌm/ | v. | 变成；成为 | 时态：became-become-becoming |
| 46 | better | /ˈbetə(r)/ | adj./adv. | 较好的；较好地 | 最高级：best；⭐had better 最好 |
| 47 | person | /ˈpɜːsn/ | n. | 人 | 复数：persons/people；⭐in person 亲自 |
| 48 | focus | /ˈfəʊkəs/ | v. | 集中（注意力、精力等） | ⭐focus on sth. 专注于某事 |
| 49 | build | /bɪld/ | v. | 创建；建造 | 时态：built-built-building；名词：building |
| 50 | relax | /rɪˈlæks/ | v. | 放松；休息 | relax yourself 放松自己 |
| 51 | advice | /ədˈvaɪs/ | n. | 建议；意见 | ⭐不可数名词；a piece of advice 一条建议 |
| 52 | spirit | /ˈspɪrɪt/ | n. | 精神；情绪 | ⭐team spirit 团队精神 |
| 53 | understand | /ˌʌndəˈstænd/ | v. | 理解；领会 | 时态：understood-understood-understanding |
| 54 | untidy | /ʌnˈtaɪdi/ | adj. | 不整洁的 | 反义词：tidy |

---

## Unit 3 Keep Fit（保持健康）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | fit | /fɪt/ | adj./v. | 健康的；健壮的；适合 | ⭐keep fit 保持健康；比较级：fitter |
| 2 | baseball | /ˈbeɪsbɔːl/ | n. | 棒球（运动） | ⭐play baseball 打棒球 |
| 3 | glove | /ɡlʌv/ | n. | （手指分开的）手套 | a pair of gloves 一副手套 |
| 4 | mat | /mæt/ | n. | （运动用的）垫子 | 复数：mats |
| 5 | rope | /rəʊp/ | n. | 绳子；粗绳 | ⭐jump rope 跳绳 |
| 6 | jump rope | /dʒʌmp rəʊp/ | n. | 跳绳用的绳子；跳绳运动 | 跳绳运动 |
| 7 | racket | /ˈrækɪt/ | n. | （网球、羽毛球等的）球拍 | 复数：rackets |
| 8 | hardly | /ˈhɑːdli/ | adv. | 几乎不；几乎没有 | ⭐hardly ever 几乎从不 |
| 9 | ever | /ˈevə(r)/ | adv. | 在任何时候；从来；曾经 | 常用于否定句、疑问句 |
| 10 | hardly ever | /ˈhɑːdli ˈevə(r)/ | phr. | 几乎从不 | 表否定 |
| 11 | once | /wʌns/ | adv./conj. | 一次；曾经；一旦 | ⭐once a week 一周一次 |
| 12 | twice | /twaɪs/ | adv. | 两次；两倍 | ⭐twice a month 一个月两次 |
| 13 | mine | /maɪn/ | pron. | 我的（所有物） | 名词性物主代词 |
| 14 | hers | /hɜːz/ | pron. | 她的（所有物） | 名词性物主代词 |
| 15 | maybe | /ˈmeɪbi/ | adv. | 也许；大概 | 同义词：perhaps |
| 16 | well-used | /ˌwelˈjuːzd/ | adj. | 使用得多的 | - |
| 17 | practice | /ˈpræktɪs/ | n. | 练习；实践 | ⭐Practice makes perfect. 熟能生巧 |
| 18 | perfect | /ˈpɜːrfɪkt/ | adj. | 完美的；极好的 | perfectly(adv.) |
| 19 | seldom | /ˈseldəm/ | adv. | 很少；不常 | 位于行为动词前 |
| 20 | badminton | /ˈbædmɪntən/ | n. | 羽毛球运动 | ⭐play badminton 打羽毛球 |
| 21 | double | /ˈdʌbl/ | n./adj. | 双打；两倍 | 动词：double（加倍） |
| 22 | sometime | /ˈsʌmtaɪm/ | adv. | 在某个时候 | 可用于过去或将来时态 |
| 23 | volleyball | /ˈvɒlibɔːl/ | n. | 排球（运动） | ⭐play volleyball 打排球 |
| 24 | theirs | /ðeəz/ | pron. | 他们的；她们的；它们的（所有物） | 名词性物主代词 |
| 25 | jog | /dʒɒɡ/ | v. | 慢跑 | ⭐go jogging 去慢跑；现在分词：jogging |
| 26 | few | /fjuː/ | adj. | （表示否定的）很少的 | ❌修饰可数名词复数；反义词：many |
| 27 | a few | /ə fjuː/ | phr. | 少数；几个 | ⭐修饰可数名词复数，表肯定意义 |
| 28 | excuse | /ɪkˈskjuːz/ | v. | 原谅；宽恕 | ⭐Excuse me. 劳驾；请原谅 |
| 29 | excuse me | /ɪkˈskjuːz miː/ | phr. | 劳驾；请原谅 | 礼貌用语 |
| 30 | over there | /ˈəʊvə(r) ðeə(r)/ | phr. | 在那边 | - |
| 31 | T-shirt | /ˈtiː ʃɜːt/ | n. | T恤衫 | 复数：T-shirts |
| 32 | belong | /bɪˈlɒŋ/ | v. | 应在（某处） | ⭐belong to 属于 |
| 33 | belong to | /bɪˈlɒŋ tuː/ | phr. | 属于（某人） | 无被动语态和进行时态 |
| 34 | at the start | /æt ðə stɑːt/ | phr. | 开始；起初 | 同义词：at the beginning |
| 35 | still | /stɪl/ | adv. | 还；仍然 | - |
| 36 | sleepy | /ˈsliːpi/ | adj. | 困倦的；想睡的 | sleep(n./v.)+y |
| 37 | instead | /ɪnˈsted/ | adv. | 反而；代替 | ⭐instead of 代替；而不是 |
| 38 | group | /ɡruːp/ | n. | 组；群 | 复数：groups |
| 39 | skateboard | /ˈskeɪtbɔːd/ | n. | 滑板 | 复数：skateboards |
| 40 | encourage | /ɪnˈkʌrɪdʒ/ | v. | 鼓励；激励 | ⭐encourage sb. to do sth. 鼓励某人做某事 |
| 41 | trick | /trɪk/ | n. | 技巧；戏法 | 复数：tricks |
| 42 | succeed | /səkˈsiːd/ | v. | 成功；达到目标 | ⭐succeed in doing sth. 成功做某事；名词：success |
| 43 | skateboarding | /ˈskeɪtbɔːdɪŋ/ | n. | 滑板运动 | skateboard双写t+ing |
| 44 | goal | /ɡəʊl/ | n. | 目标；目的 | 复数：goals；⭐set a goal 设定目标 |
| 45 | sit-up | /ˈsɪtʌp/ | n. | 仰卧起坐 | 复数：sit-ups |
